price_per_m2,area (m2),category,direction,floor_num,toilet_num,livingroom_num,bedroom_num,liability,district,city_province,street (m)
9.19E7,68.0,Bán nhà riêng,Không xác định,3,3,1,4,Sổ hồng,Bình Thạnh,TP. Hồ Chí Minh,8.0
6.33E7,120.0,Bán nhà phố dự án,Đông Nam,1,3,1,3,Hợp đồng,Phan Thiết,Bình Thuận,25.0
1.36E8,101.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
2.92E7,53.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
9.99E7,303.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Huyện Nhà Bè,TP. Hồ Chí Minh,-1.0
2.2E7,100.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Sổ hồng,Bến Lức,Long An,-1.0
1.08E8,90.0,Bán nhà riêng,Không xác định,4,6,1,5,Sổ hồng,Quận 2,TP. Hồ Chí Minh,6.0
2.46E7,65.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
5.08E7,120.0,Bán biệt thự,Không xác định,4,4,2,3,Sổ hồng,Bến Lức,Long An,25.0
1.32E8,98.0,Bán nhà riêng,Không xác định,4,5,1,4,Sổ hồng,Quận 2,TP. Hồ Chí Minh,12.5
6.2E8,116.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
833000.0,120.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
9.28E7,49.0,Bán nhà riêng,Không xác định,2,2,1,2,Sổ hồng,Quận Tân Phú,TP. Hồ Chí Minh,4.0
2.67E7,58.0,Bán căn hộ chung cư,Không xác định,34,2,1,2,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,-1.0
2.99E7,55.0,Bán căn hộ chung cư,Không xác định,32,2,1,2,Sổ hồng,Bình Thạnh,TP. Hồ Chí Minh,-1.0
1.81E8,160.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Gò Vấp,TP. Hồ Chí Minh,-1.0
8.66E7,60.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Phủ Lý,Hà Nam,-1.0
6.15E8,203.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Tây Hồ,Hà Nội,-1.0
1600000.0,1125.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Không xác định,Đức Huệ,Long An,8.0
436000.0,275.0,Bán đất thổ cư,Đông Bắc,-1,-1,-1,-1,Giấy đỏ,Nha Trang,Khánh Hòa,40.0
8.8E7,50.0,Bán nhà riêng,Không xác định,3,3,1,4,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,4.0
4.54E7,242.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
550000.0,100.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
158000.0,1200.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Chơn Thành,Bình Phước,-1.0
6.92E7,130.0,Bán biệt thự,Không xác định,4,4,2,4,Sổ hồng,Bến Lức,Long An,25.0
2.0E7,100.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
4.46E7,94.0,Bán căn hộ chung cư,Không xác định,19,2,1,3,Hợp đồng,Quận 2,TP. Hồ Chí Minh,-1.0
1.02E7,75.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Bàu Bàng,Bình Dương,-1.0
7500000.0,280.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Vũng Tàu,Bà Rịa - Vũng Tàu,-1.0
395000.0,2249.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Chơn Thành,Bình Phước,-1.0
4181.0,1196.0,Bán nhà riêng,Đông Bắc,-1,-1,-1,-1,Sổ hồng,TP. Vĩnh Long,Vĩnh Long,4.0
1.99E8,173.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 7,TP. Hồ Chí Minh,-1.0
3.82E8,222.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
1.95E7,168.5,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Huyện Củ Chi,TP. Hồ Chí Minh,-1.0
4.02E7,41.0,Bán nhà riêng,Không xác định,-1,1,1,1,Giấy đỏ,Huyện Củ Chi,TP. Hồ Chí Minh,6.0
8.06E7,54.0,Bán căn hộ chung cư,Đông Bắc,-1,1,1,1,Hợp đồng,Quận 9,TP. Hồ Chí Minh,25.0
1.69E8,44.0,Bán nhà riêng,Không xác định,-1,4,-1,3,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
1.05E7,122.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Đức Hòa,Long An,-1.0
4.2259001E10,0.2248,Bán nhà riêng,Không xác định,-1,3,1,2,Sổ hồng,Huyện Củ Chi,TP. Hồ Chí Minh,5.0
4.54E7,594.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Bình Tân,TP. Hồ Chí Minh,-1.0
5.61E7,57.0,Bán căn hộ chung cư,Không xác định,1,1,1,2,Sổ hồng,Quận 7,TP. Hồ Chí Minh,25.0
1300000.0,300.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Phú Riềng,Bình Phước,-1.0
1.11E8,60.0,Bán nhà riêng,Không xác định,3,5,1,4,Sổ hồng,Quận Tân Bình,TP. Hồ Chí Minh,6.0
29091.0,55.0,Bán căn hộ chung cư,Không xác định,1,2,2,2,Sổ hồng,Quận Phú Nhuận,TP. Hồ Chí Minh,17.5
3.0E7,50.0,Bán căn hộ chung cư,Không xác định,-1,2,1,2,Sổ hồng,Bình Thạnh,TP. Hồ Chí Minh,-1.0
1.38E7,90.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Vĩnh Cừu,Đồng Nai,-1.0
7.85E7,44.54,"Bán căn hộ Mini, Dịch vụ",Không xác định,-1,-1,-1,-1,Không xác định,Vũng Tàu,Bà Rịa - Vũng Tàu,-1.0
7.62E7,44.6,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Vũng Tàu,Bà Rịa - Vũng Tàu,-1.0
7.0E7,50.0,Bán căn hộ chung cư,Không xác định,-1,1,1,1,Không xác định,Vũng Tàu,Bà Rịa - Vũng Tàu,-1.0
5200000.0,150.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Đức Huệ,Long An,-1.0
4.18E7,600.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
4.12E7,412.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
4.73E7,547.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
4.06E7,300.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
5.16E7,600.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
1.18E8,500.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Gò Vấp,TP. Hồ Chí Minh,-1.0
1.73E8,80.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Gò Vấp,TP. Hồ Chí Minh,-1.0
1.34E8,520.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
1.87E7,4000.0,Bán nhà phố dự án,Không xác định,-1,2,-1,3,Sổ hồng,Quận Thủ Đức,TP. Hồ Chí Minh,8.0
3.62E7,800.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 9,TP. Hồ Chí Minh,-1.0
1.5E8,300.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Thủ Đức,TP. Hồ Chí Minh,-1.0
2.09E8,52.0,Bán nhà riêng,Không xác định,6,7,1,7,Sổ hồng,Quận 11,TP. Hồ Chí Minh,-1.0
4.41E8,60.0,Bán nhà riêng,Không xác định,4,4,1,3,Không xác định,Quận 10,TP. Hồ Chí Minh,-1.0
1.54E8,81.0,Bán nhà riêng,Không xác định,5,7,1,7,Sổ hồng,Quận 11,TP. Hồ Chí Minh,-1.0
2.02E8,47.0,Bán nhà riêng,Không xác định,4,3,1,4,Sổ hồng,Quận 10,TP. Hồ Chí Minh,-1.0
1.51E8,66.0,Bán nhà riêng,Không xác định,5,6,1,5,Sổ hồng,Quận 11,TP. Hồ Chí Minh,8.0
