link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability
https://nhadat.cafeland.vn/ban-nha-mat-tien-duong-thien-ho-duong-binh-thanh-ngang-8m-dai-85m-1-tret-2-lau-2262858.html,"Bán nhà Mặt tiền đường Thiên Hộ Dương Bình Thạnh ngang 8m dài 8,5m 1 trệt 2 lầu. (Tin Hết Hạn)","Thiên Hộ Dương, Phường 11, Bình Thạnh, TP. Hồ Chí Minh Lưu tin","~91,9 triệu /m2",68m2,Bán nhà riêng,,3 tầng,3,8m,1,4 phòng,Sổ hồng
https://nhadat.cafeland.vn/ban-shophouse-novaword-phan-thiet-mat-tien-bien-dep-day-florida-1-2229657.html,Bán shophouse Novaword Phan Thiết Mặt Tiền Biển Đẹp dãy Florida 1,"Hàm Tiến, Phan Thiết, Bình Thuận Lưu tin","~63,3 triệu /m2",120m2,Bán nhà phố dự án,Đông Nam,1 tầng,3,20m - 30m,1,3 phòng,Hợp đồng
https://nhadat.cafeland.vn/hiem-ban-nha-lon-gia-re-ngay-khu-k300-ga-metro-101m2-4-tang-phuong-13-tan-binh-2268702.html,HIẾM-BÁN NHÀ LỚN GIÁ RẺ-NGAY KHU K300-GA METRO-101M2-4 TẦNG-PHƯỜNG 13-TÂN BÌNH,"Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TP. Hồ Chí Minh Lưu tin",~136 triệu/m2,101m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/voi-80tr-so-huu-can-ho-2pn-fresia-riverside-canh-aeon-mall-bien-hoa-ngay-metro-2268289.html,Với 80tr sở hữu căn hộ 2PN Fresia Riverside cạnh Aeon Mall Biên Hoà ngay Metro,"Bùi Hữu Nghĩa, Tân Vạn, Biên Hòa, Đồng Nai Lưu tin","~29,2 triệu /m2",53m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/ban-nha-nho-hxh-p3-go-vap-setup-san-chi-can-don-vao-o-ngay-2263699.html,"BÁN NHÀ NHỐ HXH –P.3, GÒ VẤP – SETUP SẴN, CHỈ CẦN DỌN VÀO Ở NGAY","842/1/84, Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",,360m2,Bán nhà riêng,Đông Nam,3 tầng,3,8m,1,5 phòng,Sổ hồng
https://nhadat.cafeland.vn/ban-nha-s-300m2-mt-pham-hung-thich-hop-lam-vp-kho-xuong-biet-thuchdv-2252929.html,"Bán nhà S 300m2 mt Phạm Hùng thích hợp làm VP kho xưởng, biệt thự,CHDV","Phạm Hùng, Phước Lộc, Huyện Nhà Bè, TP. Hồ Chí Minh Lưu tin","~99,9 triệu /m2",303m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/king-hills-residence-dat-nen-long-an-co-hoi-vang-dau-tu-sinh-loi-2268628.html,King Hills Residence - Đất nền Long An - Cơ hội vàng đầu tư sinh lời,"Thanh Phú, Bến Lức, Long An Lưu tin",~22 triệu /m2,100m2,Bán đất nền dự án,,,,,,,Sổ hồng
https://nhadat.cafeland.vn/ban-nha-4-tang-gara-de-oto-mat-tien-duong-gan-bv-le-van-thinh-q2-gia-98ty-2268606.html,"Bán Nhà 4 Tầng, Gara để ôtô, Mặt Tiền Đường - Gần BV Lê Văn Thịnh, Q2. Giá 9.8Tỷ","Đường 42, Bình Trưng Tây, Quận 2, TP. Hồ Chí Minh Lưu tin",~108 triệu/m2,90m2,Bán nhà riêng,,4 tầng,6,6m,1,5 phòng,Sổ hồng
https://nhadat.cafeland.vn/can-ho-3-mat-view-song-doi-dien-ga-metro-s201-chi-thanh-toan-30-nhan-nha-2265829.html,"Căn hộ 3 mặt view sông . đối diện ga metro s2.01 , chỉ thanh toán 30% nhận nhà","935, Bình Thắng, Dĩ An, Bình Dương Lưu tin","~24,6 triệu /m2",65m2,Bán căn hộ chung cư,,,,,,,
https://nhadat.cafeland.vn/eco-retreat-ra-mat-gio-hang-gia-cuc-tot-thanh-toan-25-nhan-nha-0902413541-2267692.html,ECO RETREAT- RA MẮT GIỎ HÀNG GIÁ CỰC TỐT - THANH TOÁN 25% NHẬN NHÀ - 0902413541,"Đường nguyễn hữu trí, Thanh Phú, Bến Lức, Long An Lưu tin","~50,8 triệu /m2",120m2,Bán biệt thự,Không xác định,4 tầng,4,20m - 30m,2,3 phòng,Sổ hồng
